"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4363190594","linkedin","https://www.linkedin.com/jobs/view/4363190594","","Data Analyst","Mastek","","2026-02-11","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/mastek","","","","","","","","","","","",""
"li-4370771922","linkedin","https://www.linkedin.com/jobs/view/4370771922","","Data Analyst","Insight Global","Denver, CO","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/insight-global","","","","","","","","","","","",""
"li-4371243080","linkedin","https://www.linkedin.com/jobs/view/4371243080","","Data Analyst","Haystack","","2026-02-11","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/wearehaystack","","","","","","","","","","","",""
"li-4371235289","linkedin","https://www.linkedin.com/jobs/view/4371235289","","Data Analyst","Bluesight","","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bluesight-inc","","","","","","","","","","","",""
"li-4371217849","linkedin","https://www.linkedin.com/jobs/view/4371217849","","Enterprise Analytics - Data Analyst","U.S. Bank","Atlanta, GA","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/us-bank","","","","","","","","","","","",""
"li-4371220742","linkedin","https://www.linkedin.com/jobs/view/4371220742","","Enterprise Analytics - Data Analyst","U.S. Bank","Chicago, IL","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/us-bank","","","","","","","","","","","",""
"li-4371224633","linkedin","https://www.linkedin.com/jobs/view/4371224633","","Clinical Data Analyst","TalentBurst, an Inc 5000 company","Irvine, CA","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/talentburst","","","","","","","","","","","",""
"li-4371227158","linkedin","https://www.linkedin.com/jobs/view/4371227158","","IT Data Center Operations Analyst","Aditi Consulting","Las Vegas, TX","2026-02-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aditiconsulting","","","","","","","","","","","",""
"li-4370743153","linkedin","https://www.linkedin.com/jobs/view/4370743153","","Junior Data Analyst","CRG","Salisbury, NC","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/crg-corporation","","","","","","","","","","","",""
"li-4370901666","linkedin","https://www.linkedin.com/jobs/view/4370901666","","Data Analyst","ViaPlus","Plano, TX","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/viaplus","","","","","","","","","","","",""
"li-4362257732","linkedin","https://www.linkedin.com/jobs/view/4362257732","","Junior Data Analyst","CCS Global Tech","","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/california-creative-solutions-ccs-","","","","","","","","","","","",""
"li-4370738799","linkedin","https://www.linkedin.com/jobs/view/4370738799","","Data Analyst","The Home Depot","Atlanta, GA","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/the-home-depot","","","","","","","","","","","",""
"li-4370641150","linkedin","https://www.linkedin.com/jobs/view/4370641150","","Data Analyst | Remote","Crossing Hurdles","","2026-02-10","","","","","","",True,"","","","","","","https://www.linkedin.com/company/crossinghurdles","","","","","","","","","","","",""
"li-4370915237","linkedin","https://www.linkedin.com/jobs/view/4370915237","","Data Analyst","CGI","Arlington, VA","2026-02-10","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/cgi","","","","","","","","","","","",""
"li-4362277622","linkedin","https://www.linkedin.com/jobs/view/4362277622","","Data Analyst","Mayzax Solutions","","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/mayzax-solutions","","","","","","","","","","","",""
"li-4370943513","linkedin","https://www.linkedin.com/jobs/view/4370943513","","Data Analyst II","Lennar","Miami, FL","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lennar","","","","","","","","","","","",""
"li-4370882930","linkedin","https://www.linkedin.com/jobs/view/4370882930","","Data Analyst","Jack & Jill","San Francisco, CA","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/jackandjillai","","","","","","","","","","","",""
"li-4370685719","linkedin","https://www.linkedin.com/jobs/view/4370685719","","Data Analyst","RK Infotech LLC","Florida, United States","2026-02-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/rk-infotech-llc","","","","","","","","","","","",""
